,country1,country2,geo_dist,religious_dist,relig_diff(7),geo_dist_new
883,EGY,KGZ,4078.525,0.619,-0.691681757661273,4441.716515787148
884,EGY,KOR,8485.27,1.675,0.639920627534559,9030.837637924655
885,EGY,LBN,583.979,0.435,-0.878934504899938,1084.3063668072969
886,EGY,LBY,1741.142,0.003,-1.29849884916609,1139.5008135505298
888,EGY,MAR,3595.056,0.099,-1.26707956235267,3599.890793221152
890,EGY,MEX,12369.215,0.818,1.22032704944155,12402.575829019299
891,EGY,MMR,6554.189,0.185,1.21156819877073,6694.441712952239
892,EGY,MNG,6558.259,1.772,0.734785879727923,6804.272916578093
893,EGY,MYS,7953.16,0.354,-0.851310892801708,9323.975526930502
894,EGY,NGA,3392.298,0.049,-0.24675274209699,2967.598425281235
895,EGY,NIC,11852.371,0.508,1.25923633529032,11726.078505657226
897,EGY,NLD,10228.345,1.553,0.541388066405002,3530.9532523216094
898,EGY,NZL,16522.195,1.417,0.757774531651551,16310.180796857321
899,EGY,PAK,3941.435,0.114,-1.39050483230625,3845.631951605936
900,EGY,PER,12424.542,0.76,1.4028261117077,11855.87130732667
901,EGY,PHL,9174.915,0.123,1.15671544972496,9756.881284535182
903,EGY,ROU,1661.789,0.724,1.38302688179525,2209.578092881498
904,EGY,RUS,2901.309,1.332,0.582459250432961,3759.8644982827072
905,EGY,SGP,8265.969,1.058,0.497550761788949,8383.16534412256
906,EGY,SRB,1893.918,1.268,1.28288653826114,2147.9254711106405
907,EGY,SVK,2344.631,1.387,1.25766760210963,2664.004775717946
908,EGY,THA,7269.702,0.639,1.40589266797287,7453.442341116399
909,EGY,TJK,3546.978,0.448,-1.36983697365414,4231.110807922695
910,EGY,TUN,2088.891,0.072,-1.26546794426293,2133.7152938387044
911,EGY,TUR,1108.413,0.488,-1.2857660615086,1537.1624264948168
912,EGY,TWN,8671.521,1.377,0.57536305247073,9005.489431970833
913,EGY,UKR,2266.971,0.993,1.3051707290449,2627.586039787099
914,EGY,URY,11644.83,1.659,0.904377614582768,11159.80399756942
915,EGY,USA,9566.293,1.242,0.998152261980545,10869.423541413204
916,EGY,UZB,3619.589,0.586,-1.4154346656048,3590.516641470817
917,EGY,VEN,10193.211,0.869,1.23736957715768,10056.16999987514
918,EGY,VNM,7425.676,1.611,0.823227076421242,7621.736240501046
919,EGY,ZWE,5322.953,0.115,0.94251633229204,5014.915515751679
920,ETH,GBR,5891.037,1.818,-0.52013578843392,6318.140394613186
921,ETH,GRC,3551.325,0.629,0.504698920782635,3902.536918817054
922,ETH,GTM,13830.033,0.637,0.560927793684837,13898.034810284727
924,ETH,IDN,7735.957,0.054,-0.377050946390583,7032.670202120568
925,ETH,IND,4152.123,0.463,0.399569564893462,4595.234726367576
926,ETH,IRN,3233.794,0.333,-0.0876611994517599,3143.0731013619875
927,ETH,IRQ,2764.524,0.094,-0.17463876381209,2819.5820829112
928,ETH,JOR,2564.558,0.017,-0.175111811601343,2547.7964863939737
929,ETH,JPN,10404.169,1.749,0.318362914859125,10310.552592110353
930,ETH,KAZ,5556.58,0.971,-1.18966011012913,5331.655398023052
931,ETH,KEN,1165.187,0.117,-0.11075288679425,842.3807660238175
932,ETH,KGZ,5128.745,0.572,-1.20838800488358,5107.497824059511
933,ETH,KOR,9246.59,1.628,-0.528726241369061,9393.461435652835
934,ETH,LBN,2781.41,0.388,-0.855324752102393,2919.5237557882956
935,ETH,LBY,3728.049,0.051,-0.110189851544409,3037.0091659867976
937,ETH,MAR,5403.741,0.052,-0.0656706801243738,5449.595647850107
939,ETH,MEX,14416.231,0.77,0.321130482845031,14519.86399126561
940,ETH,MMR,6264.944,0.138,0.506653966568599,6245.900511489891
941,ETH,MNG,7646.429,1.725,-0.114757596517018,7451.302787915618
942,ETH,MYS,6988.347,0.307,-0.70259212950972,8289.64789613
943,ETH,NGA,3421.68,0.001,-0.859368604108654,3473.771725893154
944,ETH,NIC,13492.647,0.461,0.37314860025763,13430.367987226606
946,ETH,NLD,11609.476,1.506,-0.583112429831765,5792.119149808683
947,ETH,NZL,14415.824,1.37,-0.353341096332654,14229.668352123048
948,ETH,PAK,4452.699,0.067,-0.174621389584746,3881.064849726472
949,ETH,PER,12998.245,0.713,0.560927793684837,12578.394823393854
950,ETH,PHL,8931.396,0.076,0.301125656306991,9117.95480466049
952,ETH,ROU,4119.424,0.676,0.535398632323117,4404.9620101444625
953,ETH,RUS,5195.923,1.285,-0.433518834235548,5604.400583279665
954,ETH,SGP,7257.023,1.011,-0.376058668810765,7204.337889771324
955,ETH,SRB,4347.952,1.22,0.429312948133784,4393.528698728566
956,ETH,SVK,4797.373,1.34,0.371060968269977,4899.511841133874
957,ETH,THA,6742.61,0.591,0.783526289788077,6777.705978767695
958,ETH,TJK,4445.926,0.401,-0.289470149919919,4744.283744284802
959,ETH,TUN,4216.601,0.025,-0.0651101080599466,4200.029936288044
960,ETH,TUR,3484.214,0.44,-0.088781351773573,3511.665979309445
961,ETH,TWN,8865.808,1.33,-0.557357177073167,8817.236018238751
962,ETH,UKR,4664.8,0.945,0.433952124356056,4680.7796825237365
963,ETH,URY,11021.577,1.612,-0.125873236322601,10961.917974192549
964,ETH,USA,11105.499,1.195,0.0416325990294079,13093.190588089603
965,ETH,UZB,4677.34,0.539,-0.279767238286262,4472.84232006692
966,ETH,VEN,11499.982,0.822,0.343971798236069,11388.101647257161
967,ETH,VNM,7286.119,1.564,-0.113081163538907,7235.6598127850475
968,ETH,ZWE,3102.142,0.068,-0.0691569827998806,3160.0251361638884
969,GBR,GRC,2388.804,1.189,-0.416306323105461,2432.3986921032943
970,GBR,GTM,8770.759,1.181,-0.363284175412006,8554.515763861347
972,GBR,IDN,11709.875,1.872,0.561101270363938,10995.402546951273
973,GBR,IND,9456.145,1.355,0.546561420514066,7432.7103999163255
974,GBR,IRN,4394.585,1.485,0.880250945928027,5059.356808459871
975,GBR,IRQ,4087.864,1.724,0.780344955374578,4240.794090151471
976,GBR,JOR,3637.186,1.835,0.779323769316098,4016.914429956452
977,GBR,JPN,9560.763,0.069,0.397341213788222,9263.231936010352
978,GBR,KAZ,4763.562,0.846,-0.169213023160169,4703.655929559254
979,GBR,KEN,6816.354,1.701,-0.973279018141828,7008.66577556582
980,GBR,KGZ,5474.492,1.246,-0.180401508710894,5574.673036370967
981,GBR,KOR,8857.529,0.19,-1.05951808269537,8857.059756560804
982,GBR,LBN,3454.876,1.43,-0.0739386358857748,3707.8706919852716
983,GBR,LBY,2332.257,1.869,0.859561119402815,3497.01620392533
985,GBR,MAR,2017.948,1.766,0.899918901396195,2561.668870381746
987,GBR,MEX,8932.142,1.048,-0.626901219550381,8491.554693768127
988,GBR,MMR,8712.85,1.68,0.562073492283369,8565.657978314184
989,GBR,MNG,6969.733,0.093,0.0768972226218484,6878.547015786132
990,GBR,MYS,10540.892,1.511,0.213335370808334,11411.71759470423
991,GBR,NGA,4767.801,1.817,-0.620313515199783,5072.032654407697
992,GBR,NIC,8691.492,1.357,-0.569131232687399,8410.673200348247
994,GBR,NLD,7450.318,0.312,-1.51070409683309,557.1380133597569
995,GBR,NZL,18815.125,0.448,-1.39906040687138,18342.773277401404
996,GBR,PAK,6031.697,1.751,0.780258820656048,6171.921407344084
997,GBR,PER,10173.979,1.105,-0.363284175412006,9981.42889391009
998,GBR,PHL,10731.859,1.742,-0.601449594754279,11071.193960488154
1000,GBR,ROU,2087.639,1.142,-0.39106423942932,2142.146034770585
1001,GBR,RUS,2496.892,0.533,-1.31356280426044,2857.2099193840872
1002,GBR,SGP,10853.177,0.807,-0.24072612502841,10904.703821790876
1003,GBR,SRB,1689.183,0.597,-0.489901480622909,1997.5460258954618
1004,GBR,SVK,1285.365,0.478,-0.571441202613296,1585.0823193370488
1005,GBR,THA,9530.648,1.227,0.888580381749927,9441.448424272672
1006,GBR,TJK,5386.496,1.417,0.695839310383099,5718.343603545155
1007,GBR,TUN,1823.978,1.793,0.900986534026102,2462.1497117681506
1008,GBR,TUR,2830.891,1.378,0.87810820969112,3196.0210227890593
1009,GBR,TWN,9780.94,0.488,-0.466276193112365,9778.501763176893
1010,GBR,UKR,2130.563,0.873,-0.502173220106453,2373.750070927268
1011,GBR,URY,11045.493,0.206,-1.14112463219519,10994.531766749185
1012,GBR,USA,6690.139,0.623,-0.922945380215556,6849.40274716976
1013,GBR,UZB,5228.248,1.279,0.692713990581905,4915.885273809891
1014,GBR,VEN,7499.389,0.996,-0.601463470036656,7603.26708652375
1015,GBR,VNM,9232.4,0.254,-0.0863529973739498,9124.193370916099
1016,GBR,ZWE,8279.569,1.75,-1.07354472625642,8703.663473263121
1017,GRC,GTM,11017.939,0.008,-1.52081946884509,10758.07555016995
1019,GRC,IDN,9828.232,0.683,1.32131658937628,9233.640332996418
1020,GRC,IND,7118.205,0.166,1.32511770646098,5694.354413503271
1021,GRC,IRN,2468.029,0.296,1.64463813819341,3083.233447559587
1022,GRC,IRQ,1933.197,0.536,1.536068025754,2050.8512088250604
1023,GRC,JOR,1296.588,0.646,1.53443003852947,1641.87480873632
1024,GRC,JPN,9509.755,1.12,1.1944393008786,9401.85334575923
